FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
01001,Alabama,Autauga,2636,438,283,332,838,745,658,1182,795,2159,477
01003,Alabama,Baldwin,6329,1549,819,845,1760,1356,1372,2045,2911,5754,573
01005,Alabama,Barbour,604,104,51,90,198,161,99,234,271,528,76
01007,Alabama,Bibb,268,48,33,34,91,62,52,97,119,245,23
01009,Alabama,Blount,973,209,125,135,288,216,239,282,452,915,58
01011,Alabama,Bullock,198,37,23,26,55,57,40,71,87,171,27
01013,Alabama,Butler,453,77,46,56,139,135,86,171,196,399,54
01015,Alabama,Calhoun,3343,719,386,433,995,810,579,1169,1595,2918,425
01017,Alabama,Chambers,675,111,63,83,243,175,146,202,327,615,60
01019,Alabama,Cherokee,506,123,48,63,148,124,74,139,293,467,39
01021,Alabama,Chilton,835,162,95,110,245,223,185,281,369,759,76
01023,Alabama,Choctaw,250,45,26,34,78,67,56,78,116,217,33
01025,Alabama,Clarke,504,133,61,61,150,99,97,204,203,453,51
01027,Alabama,Clay,286,54,31,45,87,69,61,91,134,276,10
01029,Alabama,Cleburne,212,47,18,27,71,49,33,65,114,197,15
01031,Alabama,Coffee,3806,525,393,454,1162,1272,909,1773,1124,3270,536
01033,Alabama,Colbert,1218,264,143,138,378,295,252,352,614,1133,85
01035,Alabama,Conecuh,338,66,20,42,126,84,65,122,151,300,38
01037,Alabama,Coosa,312,63,31,40,92,86,59,96,157,274,38
01039,Alabama,Covington,963,216,130,128,285,204,184,298,481,868,95
01041,Alabama,Crenshaw,307,57,38,49,86,77,60,111,136,276,31
01043,Alabama,Cullman,1527,306,215,195,453,358,434,468,625,1399,128
01045,Alabama,Dale,2772,481,315,362,840,774,559,1123,1090,2338,434
01047,Alabama,Dallas,833,166,88,110,248,221,135,326,372,699,134
01049,Alabama,DeKalb,904,202,125,128,251,198,218,256,430,832,72
01051,Alabama,Elmore,3385,582,392,433,1035,943,729,1467,1189,2865,520
01053,Alabama,Escambia,749,177,89,105,210,168,119,273,357,658,91
01055,Alabama,Etowah,2181,492,261,289,682,457,460,658,1063,2019,162
01057,Alabama,Fayette,335,53,40,40,124,78,77,122,136,306,29
01059,Alabama,Franklin,358,54,50,46,108,100,85,110,163,330,28
01061,Alabama,Geneva,925,181,108,121,288,227,187,334,404,848,76
01063,Alabama,Greene,156,20,15,16,53,52,17,61,78,130,26
01065,Alabama,Hale,273,38,36,36,81,82,56,101,116,233,40
01067,Alabama,Henry,506,91,51,65,149,150,107,212,187,459,47
01069,Alabama,Houston,3305,572,338,389,1042,964,802,1286,1217,2903,402
01071,Alabama,Jackson,828,162,97,118,265,186,193,245,390,770,58
01073,Alabama,Jefferson,10478,2076,1288,1419,3133,2562,2250,3754,4474,8975,1502
01075,Alabama,Lamar,237,36,31,37,73,60,45,72,120,224,13
01077,Alabama,Lauderdale,1859,415,235,224,521,464,433,536,890,1697,162
01079,Alabama,Lawrence,466,85,62,70,143,106,96,153,217,425,41
01081,Alabama,Lee,5054,655,429,533,1542,1895,1512,2127,1415,4324,730
01083,Alabama,Limestone,3639,589,390,464,1076,1120,917,1700,1022,3160,479
01085,Alabama,Lowndes,281,42,30,35,85,89,63,102,116,225,56
01087,Alabama,Macon,568,76,63,56,166,207,97,190,281,505,63
01089,Alabama,Madison,15914,2688,1872,2098,4552,4704,4074,7346,4494,13478,2435
01091,Alabama,Marengo,434,70,42,47,156,119,84,162,188,373,61
01093,Alabama,Marion,464,73,60,70,156,105,113,161,190,432,32
01095,Alabama,Marshall,1840,363,249,250,554,424,433,615,792,1691,149
01097,Alabama,Mobile,8966,2377,1178,1271,2395,1745,1916,3180,3870,7912,1054
01099,Alabama,Monroe,428,84,51,67,131,95,87,161,180,377,51
01101,Alabama,Montgomery,8123,1346,890,971,2460,2456,1763,3390,2970,6324,1798
01103,Alabama,Morgan,2289,490,316,334,674,475,621,767,901,2077,212
01105,Alabama,Perry,184,25,19,24,59,57,23,90,71,162,22
01107,Alabama,Pickens,383,50,33,40,137,123,74,156,153,336,47
01109,Alabama,Pike,768,146,77,104,247,194,168,284,316,671,97
01111,Alabama,Randolph,461,106,57,64,119,115,74,136,251,418,43
01113,Alabama,Russell,3920,351,247,323,1218,1781,1276,1807,837,3084,836
01115,Alabama,St. Clair,1855,415,227,233,528,452,478,570,807,1674,181
01117,Alabama,Shelby,3755,865,445,489,1067,889,1007,1371,1377,3291,464
01119,Alabama,Sumter,203,27,26,23,78,49,30,90,83,178,25
01121,Alabama,Talladega,1723,371,203,240,522,387,361,613,749,1511,212
01123,Alabama,Tallapoosa,1081,206,103,143,337,292,173,325,583,991,90
01125,Alabama,Tuscaloosa,3774,604,366,452,1259,1093,984,1397,1393,3207,567
01127,Alabama,Walker,1154,237,135,171,362,249,244,366,544,1071,83
01129,Alabama,Washington,307,70,44,42,97,54,48,96,163,284,23
01131,Alabama,Wilcox,152,28,15,21,47,41,21,65,66,138,14
01133,Alabama,Winston,422,101,47,57,129,88,88,160,174,393,29
02013,Alaska,Aleutians East,,,,,,,,,,,
02016,Alaska,Aleutians West,25,11,,,,,10,,,,
02020,Alaska,Anchorage,10272,2148,1443,1668,3065,1948,3237,4229,2806,8663,1609
02050,Alaska,Bethel,70,30,14,,13,,17,29,24,,
02060,Alaska,Bristol Bay,18,,,,,,,,10,,
02063,Alaska,Chugach,115,35,18,11,33,18,28,52,35,,
02066,Alaska,Copper River,77,34,,15,13,11,11,21,45,,
02068,Alaska,Denali,60,16,,11,14,,19,27,14,,
02070,Alaska,Dillingham,33,15,,,,,,,14,,
02090,Alaska,Fairbanks North Star,4165,733,597,644,1326,865,1603,1765,797,3483,682
02100,Alaska,Haines,44,,,10,11,11,10,10,24,,
02105,Alaska,Hoonah-Angoon,34,13,,,12,,,,25,,
02110,Alaska,Juneau,526,155,97,60,142,72,160,210,156,476,50
02122,Alaska,Kenai Peninsula,1643,446,231,221,437,308,386,528,729,1464,179
02130,Alaska,Ketchikan Gateway,222,53,32,35,73,29,55,87,80,199,23
02150,Alaska,Kodiak Island,347,76,50,44,111,66,103,162,82,311,36
02158,Alaska,Kusilvak,34,18,,,,,,,17,,
02164,Alaska,Lake and Peninsula,,,,,,,,,,,
02170,Alaska,Matanuska-Susitna,4953,887,587,756,1588,1135,1720,2048,1185,4271,682
02180,Alaska,Nome,60,20,,,14,12,17,17,26,,
02185,Alaska,North Slope,14,,,,,,,,,,
02188,Alaska,Northwest Arctic,26,14,,,,,,,11,,
02195,Alaska,Petersburg,58,18,12,,11,,17,16,25,,
